Date,Open,High,Low,Close,Volume
20021101,0.11,0.11,0.11,0.11,74000
20021104,0.11,0.11,0.1,0.105,1166900
20021105,0.1,0.105,0.1,0.105,759670
20021106,0.1,0.105,0.1,0.105,101000
20021107,0.105,0.105,0.097,0.097,808230
20021108,0.1,0.105,0.1,0.1,685199
20021111,0.105,0.11,0.1,0.1,1109000
20021112,0.105,0.105,0.1,0.1,0
20021113,0.105,0.11,0.105,0.105,564856
20021114,0.105,0.105,0.1,0.105,617400
20021115,0.105,0.11,0.105,0.11,343500
20021118,0.11,0.11,0.105,0.11,427602
20021119,0.11,0.11,0.105,0.105,458679
20021120,0.11,0.115,0.11,0.115,669019
20021121,0.115,0.14,0.115,0.135,2906144
20021122,0.135,0.135,0.125,0.13,749000
20021125,0.13,0.13,0.12,0.12,1417533
20021126,0.125,0.125,0.12,0.12,505800
20021127,0.12,0.12,0.115,0.115,195472
20021128,0.115,0.12,0.11,0.12,322800
20021129,0.12,0.12,0.115,0.115,371600
20021202,0.115,0.115,0.11,0.11,1112575
20021203,0.11,0.11,0.105,0.105,252652
20021204,0.11,0.115,0.11,0.115,829171
20021205,0.115,0.115,0.11,0.11,390148
20021206,0.11,0.11,0.105,0.105,640881
20021209,0.11,0.115,0.11,0.11,1809529
20021210,0.11,0.11,0.105,0.105,1251090
20021211,0.105,0.11,0.1,0.1,515300
20021212,0.105,0.105,0.105,0.105,139000
20021213,0.11,0.115,0.11,0.11,2567966
20021216,0.115,0.115,0.11,0.115,605650
20021217,0.115,0.115,0.105,0.11,1219014
20021218,0.115,0.115,0.11,0.115,718090
20021219,0.12,0.125,0.115,0.12,2068299
20021220,0.12,0.125,0.12,0.125,954000
20021223,0.12,0.12,0.115,0.12,153300
20021224,0.12,0.12,0.12,0.12,554900
20021225,0.12,0.12,0.12,0.12,0
20021226,0.12,0.12,0.12,0.12,0
20021227,0.12,0.125,0.12,0.12,537133
20021230,0.12,0.125,0.115,0.115,1012467
20021231,0.12,0.12,0.115,0.115,442733
20030101,0.115,0.115,0.115,0.115,0
20030102,0.12,0.12,0.115,0.115,218000
20030103,0.12,0.12,0.115,0.12,640134
20030106,0.12,0.12,0.115,0.12,922506
20030107,0.125,0.125,0.115,0.12,529170
20030108,0.12,0.12,0.11,0.115,586026
20030109,0.12,0.135,0.115,0.135,6947552
20030110,0.14,0.155,0.14,0.145,7828670
20030113,0.15,0.15,0.135,0.14,3047764
20030114,0.14,0.14,0.125,0.125,2840680
20030115,0.125,0.13,0.12,0.125,1365666
20030116,0.13,0.13,0.12,0.13,1208000
20030117,0.13,0.13,0.12,0.12,1387520
20030120,0.125,0.125,0.12,0.12,664292
20030121,0.12,0.12,0.115,0.12,2164262
20030122,0.12,0.13,0.12,0.13,2751434
20030123,0.125,0.135,0.125,0.13,2718754
20030124,0.135,0.135,0.13,0.13,1035888
20030128,0.130,0.135,0.130,0.135,1933154
20030129,0.135,0.135,0.130,0.130,681900
20030130,0.130,0.130,0.125,0.125,661360
